ID_token,price_diff,total_price,pred_price,fur_value,pattern_value,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,pattern_value,mouth_value,image_url_png,opensea
11589,-1.830200595816093,9.585963380576695,7.755762784760602,ragamuffin,totesbasic,crazy,ragamuffin,granitegrey,greymatter,mintgreen,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/11589.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/11589
503895,-1.8100271233491902,8.514425508072405,6.7043983847232145,ragdoll,tiger,slyboots,ragdoll,azaleablush,bananacream,coralsunrise,tiger,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/503895.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/503895
846140,-1.801053672547706,8.104675371299653,6.303621698751947,birman,rascal,wiley,birman,icy,cinderella,dahlia,rascal,fangtastic,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/846140.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/846140
446320,-1.799163345909819,9.092432443521018,7.293269097611199,selkirk,totesbasic,thicccbrowz,selkirk,icy,shadowgrey,gold,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/446320.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/446320
25947,-1.790815547886778,9.968575546738457,8.177759998851679,ragamuffin,totesbasic,thicccbrowz,ragamuffin,granitegrey,aquamarine,gold,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/25947.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/25947
146867,-1.7868055696636294,10.875725109659305,9.088919539995675,cymric,totesbasic,thicccbrowz,cymric,granitegrey,cottoncandy,topaz,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/146867.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/146867
496566,-1.7855979708273848,8.238168997799509,6.452571026972124,birman,spangled,slyboots,birman,sandalwood,greymatter,coralsunrise,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/496566.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/496566
11883,-1.782154495390686,9.559495641488457,7.777341146097771,cymric,totesbasic,thicccbrowz,cymric,kittencream,shadowgrey,sizzurp,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/11883.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/11883
478823,-1.7766214958844353,8.24551413854629,6.468892642661854,selkirk,spangled,wonky,selkirk,azaleablush,mauveover,strawberry,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/478823.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/478823
828806,-1.7649442666296613,8.065352486672825,6.300408220043164,koladiviya,rascal,chronic,koladiviya,cashewmilk,cottoncandy,dahlia,rascal,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/828806.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/828806
154827,-1.7540312459831373,11.2186899622242,9.464658716241063,ragamuffin,luckystripe,googly,ragamuffin,kittencream,cottoncandy,gold,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/154827.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/154827
1082290,-1.7503697409744383,8.461059696449809,6.71068995547537,chantilly,rorschach,thicccbrowz,chantilly,frosting,brownies,olive,rorschach,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1082290.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1082290
13007,-1.7451226354151554,9.547815396391577,7.802692760976422,cymric,luckystripe,thicccbrowz,cymric,granitegrey,salmon,strawberry,luckystripe,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/13007.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/13007
515462,-1.73277745514907,9.095103077781266,7.362325622632196,birman,amur,slyboots,birman,purplehaze,bananacream,sapphire,amur,wuvme,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/515462.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/515462
1206,-1.732192932540034,10.703646379863622,8.971453447323588,ragamuffin,totesbasic,thicccbrowz,ragamuffin,kittencream,orangesoda,sizzurp,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1206.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1206
27380,-1.7205897783818411,9.90042316197957,8.179833383597728,himalayan,totesbasic,thicccbrowz,himalayan,kittencream,mauveover,gold,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/27380.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/27380
442639,-1.71749232042027,8.931183985690032,7.213691665269762,ragdoll,totesbasic,crazy,ragdoll,icy,aquamarine,gold,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/442639.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/442639
516883,-1.695752750523563,9.058078373155759,7.362325622632196,bobtail,tiger,wonky,bobtail,azaleablush,mauveover,strawberry,tiger,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/516883.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/516883
148193,-1.687611620406848,10.864732527430606,9.177120907023758,cymric,totesbasic,googly,cymric,kittencream,cottoncandy,gold,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/148193.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/148193
22058,-1.6822290776527433,9.563058505053483,7.88082942740074,cymric,totesbasic,crazy,cymric,kittencream,mauveover,topaz,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/22058.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/22058
473929,-1.6809662329442778,8.441766166617338,6.76079993367306,munchkin,amur,wonky,munchkin,azaleablush,bananacream,topaz,amur,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/473929.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/473929
503191,-1.6589172666520202,8.357508127736113,6.698590861084092,selkirk,amur,slyboots,selkirk,azaleablush,mauveover,mintgreen,amur,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/503191.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/503191
827381,-1.6583485800914595,7.950575044086728,6.292226463995268,koladiviya,amur,wonky,koladiviya,icy,brownies,parakeet,amur,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/827381.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/827381
26284,-1.6568812963036166,9.786483252492694,8.129601956189077,munchkin,luckystripe,crazy,munchkin,kittencream,salmon,strawberry,luckystripe,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/26284.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/26284
450596,-1.6558866199143365,8.83275758879091,7.176870968876574,selkirk,luckystripe,wonky,selkirk,kittencream,shadowgrey,thundergrey,luckystripe,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/450596.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/450596
20584,-1.6553971857223546,9.508715430872098,7.853318245149743,cymric,luckystripe,crazy,cymric,granitegrey,mauveover,strawberry,luckystripe,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/20584.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/20584
834589,-1.6530809826066255,7.950575044086728,6.297494061480102,ragdoll,tiger,wonky,ragdoll,cashewmilk,greymatter,sapphire,tiger,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/834589.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/834589
515605,-1.647682295341661,9.010007917973857,7.362325622632196,selkirk,tiger,chronic,selkirk,purplehaze,shadowgrey,coralsunrise,tiger,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/515605.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/515605
22630,-1.6428439890555513,9.561742671234892,7.918898682179341,cymric,luckystripe,thicccbrowz,cymric,granitegrey,orangesoda,strawberry,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/22630.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/22630
471873,-1.642556143831384,8.450201079217758,6.8076449353863735,munchkin,amur,chronic,munchkin,sandalwood,shadowgrey,sapphire,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/471873.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/471873
12517,-1.641534361010998,9.375908447903837,7.7343740868928395,munchkin,totesbasic,crazy,munchkin,granitegrey,shadowgrey,mintgreen,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/12517.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/12517
